Id	PersonId	DateOfBirth	EthnicGroupId	GenderId	GivenNames	MiddleNames	Surnames
1	1	19520529	Hispanic	M	Elias	J	Ruvalcaba
2	2	19830527	Hispanic	F	Marceliana	S	Zamora
3	3	19460408	Hispanic	M	Benedicto	P	Casares
4	4	19840121	Hispanic	M	Hassan	B	Orosco
5	5	19910312	Hispanic	M	Leónidas	D	Hernandes
6	6	19890805	Hispanic	M	Madison	G	Lemus
7	7	19560331	Hispanic	M	Alfio	M	Jaramillo
8	8	19571220	Hispanic	F	Hildegunda	A	Guillén
9	9	19740109	Hispanic	M	Kristopher	K	Valadez
10	10	19600529	Hispanic	M	Madox	K	Dueñas
11	11	19610510	Hispanic	M	Goyo	K	Duran
12	12	19521208	Hispanic	M	Arandú	K	Palomo
13	13	19920310	Hispanic	M	Grato	S	Magana
14	14	19740429	Hispanic	F	Joann	J	Palacios
15	15	19490620	Hispanic	M	Eliel	V	Juárez
16	16	19820921	Hispanic	F	Belisa	M	Romero
17	17	19511011	Hispanic	M	Leonard	J	Tamez
18	18	19571118	Hispanic	M	Caspar	Z	Castro
19	19	19740527	Hispanic	F	Dorothy	E	Rivero
20	20	19560226	Hispanic	F	Michela	A	Pichardo
21	21	19830926	Hispanic	M	Azanías	A	Quintanilla
22	22	19501003	Hispanic	M	Habid	A	Carreón
23	23	19490208	Hispanic	F	Ivett	A	Borrego
24	24	19541219	Hispanic	M	Anatolio	N	Campos
25	25	19970607	Hispanic	M	Marino	M	Nieto
26	26	19931017	Hispanic	F	Kalid	T	Barrera
27	27	19831203	Hispanic	M	Ellis	D	Cruz
28	28	19770708	Hispanic	M	Alexis	M	Borrego
29	29	19560717	Hispanic	F	Ildegunda	M	Montemayor
30	30	19950112	Hispanic	F	Loreley	U	Arévalo
31	31	19830104	Hispanic	M	Kirian	A	Garibay
32	32	19800528	Hispanic	M	Maximino	C	Rolón
33	33	19620619	Hispanic	M	Romelio	M	Mares
34	34	19831009	Hispanic	M	Lancelot	M	López
35	35	19730928	Hispanic	M	Raphael	J	Arroyo
36	36	19451027	Hispanic	F	Dacil	H	Salcido
37	37	19480720	Hispanic	F	Inti	A	Lovato
38	38	19690426	Hispanic	M	Lalo	O	Badillo
39	39	19721021	Hispanic	M	Aramis	S	Nazario
40	40	19811126	Hispanic	F	Terpsícore	A	Jaramillo
41	41	19450603	Hispanic	M	Gaxan	N	Alarcón
42	42	19900128	Hispanic	M	Prinio	B	Reséndez
43	43	19920821	Hispanic	M	Huaman	M	Zayas
44	44	19780213	Hispanic	M	Jules	F	Olivera
45	45	19741108	Hispanic	M	Yannick	I	Otero
46	46	19500118	Hispanic	M	Harry	A	Macías
47	47	19650512	Hispanic	M	Pelegrino	G	Franco
48	48	19530505	Hispanic	M	Edelio	D	Valverde
49	49	19590211	Hispanic	M	Nofre	Z	Paredes
50	50	19900221	Hispanic	M	Yair	R	Cardona
51	51	19490322	Hispanic	M	Cosimus	A	Huerta
52	52	19900725	Hispanic	F	Zina	H	Posada
53	53	19490304	Hispanic	M	Román	L	Negrón
54	54	19891013	Hispanic	F	Helia	N	Razo
55	55	19560126	Hispanic	M	Adalgiso	V	Bustamante
56	56	19710707	Hispanic	M	Príamo	F	Bonilla
57	57	19800702	Hispanic	M	Breogan	A	Villalobos
58	58	19460127	Hispanic	M	Ibrahim	R	Adomo
59	59	19471006	Hispanic	M	Ralph	C	Sotelo
60	60	19961103	Hispanic	M	Justin	G	Magana
61	61	19600923	Hispanic	M	Armentario	C	Arreola
62	62	19950725	Hispanic	M	Iber	D	Viera
63	63	19560809	Hispanic	M	Hector	H	Montez
64	64	19700910	Hispanic	M	Dositeo	G	Sedillo
65	65	19780420	Hispanic	F	Cebeles	G	Malave
66	66	19880509	Hispanic	F	Ainoa	L	Montemayor
